iter	Logloss
0	0.6896376079
1	0.6861369972
2	0.6825824292
3	0.6793946687
4	0.6759579926
5	0.6725184139
6	0.6692473956
7	0.6659968489
8	0.6629803806
9	0.6600738839
10	0.6571958117
11	0.6540778371
12	0.6512578437
13	0.6482853575
14	0.645614371
15	0.6428243534
16	0.6401140364
17	0.6377315791
18	0.6352204724
19	0.6327374288
20	0.6301725754
21	0.6276835006
22	0.6252620372
23	0.6229131449
24	0.6207216355
25	0.6183529472
26	0.6160655153
27	0.6139516833
28	0.6119713156
29	0.6097649859
30	0.6075969032
31	0.6056030809
32	0.6035638409
33	0.6015001242
34	0.5996933366
35	0.5976564297
36	0.5958590485
37	0.593992613
38	0.5920722479
39	0.590245173
40	0.5885556052
41	0.5868532972
42	0.5850302305
43	0.5832505249
44	0.5816146666
45	0.5798826299
46	0.5781752249
47	0.5766542034
48	0.5750055853
49	0.5733457025
50	0.5716522184
51	0.5702109528
52	0.5686518881
53	0.5671303402
54	0.5657377698
55	0.5641981765
56	0.5627002833
57	0.5612241383
58	0.5599438492
59	0.5585569502
60	0.5572577506
61	0.5559845595
62	0.5546547382
63	0.5533377196
64	0.5520464127
65	0.5508764947
66	0.5496549118
67	0.5484227792
68	0.5471157977
69	0.5459639469
70	0.5447559193
71	0.5435807377
72	0.5424904976
73	0.5413673664
74	0.5402318187
75	0.5390860545
76	0.538018948
77	0.5369718361
78	0.5358715516
79	0.5349304194
80	0.5339218814
81	0.5329539523
82	0.5319781938
83	0.5309739661
84	0.5299333773
85	0.5288682951
86	0.527985798
87	0.5271195069
88	0.5262525102
89	0.5252845246
90	0.5244704062
91	0.5235748118
92	0.5226661588
93	0.5217185273
94	0.5208691751
95	0.5199811798
96	0.519084077
97	0.5183267382
98	0.5174209373
99	0.5165756754
100	0.5156494339
101	0.5147758699
102	0.513854888
103	0.5131178815
104	0.5123262418
105	0.511639147
106	0.510959713
107	0.5101492799
108	0.5094699347
109	0.5088061743
110	0.5081430434
111	0.5073468401
112	0.5066807284
113	0.5061100168
114	0.5054860115
115	0.5047836285
116	0.5040656845
117	0.5032910418
118	0.5025703466
119	0.501955341
120	0.5013099218
121	0.5007510335
122	0.5001659284
123	0.4995545976
124	0.4987662959
125	0.4981412902
126	0.497423293
127	0.4968459945
128	0.496312721
129	0.4957191693
130	0.495148575
131	0.4946376772
132	0.4940791952
133	0.4934860097
134	0.492909361
135	0.4924067822
136	0.4919164264
137	0.491284314
138	0.4906655292
139	0.4900559583
140	0.4895187008
141	0.4890329311
